FULL_ADDRESS,STREET,CITY,ZIP,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"1232 HAMILTON ST NW, WASHINGTON DC, 20011","1232 HAMILTON ST NW"," WASHINGTON DC"," 20011",38.952695,-77.028806,1,rooftop,"1232 Hamilton St NW",,"Washington, DC 20011",1232,"Hamilton St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"600 AVA CIR NE, WASHINGTON DC, 20017","600 AVA CIR NE"," WASHINGTON DC"," 20017",38.949497,-76.998291,1,rooftop,"600 Ava Cir NE",,"Washington, DC 20017",600,"Ava Cir NE",,,Washington,DC,"District of Columbia",20017,US,"Statewide (City of Washington)"
"4725 4TH ST NW, WASHINGTON DC, 20011","4725 4TH ST NW"," WASHINGTON DC"," 20011",38.94821,-77.017176,1,rooftop,"4725 4th St NW",,"Washington, DC 20011",4725,"4th St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"1429 K ST SE, WASHINGTON DC, 20003","1429 K ST SE"," WASHINGTON DC"," 20003",38.878196,-76.98453,1,rooftop,"1429 K St SE",,"Washington, DC 20003",1429,"K St SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
"2345 SKYLAND TER SE, WASHINGTON DC, 20020","2345 SKYLAND TER SE"," WASHINGTON DC"," 20020",38.86057,-76.973281,1,rooftop,"2345 Skyland Ter SE",,"Washington, DC 20020",2345,"Skyland Ter SE",,,Washington,DC,"District of Columbia",20020,US,"Statewide (City of Washington)"
"3811 MASSACHUSETTS AVE SE, WASHINGTON DC, 20019","3811 MASSACHUSETTS AVE SE"," WASHINGTON DC"," 20019",38.872822,-76.949471,1,rooftop,"3811 Massachusetts Ave SE",,"Washington, DC 20019",3811,"Massachusetts Ave SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"3716 4TH ST SE, WASHINGTON DC, 20032","3716 4TH ST SE"," WASHINGTON DC"," 20032",38.837634,-77.000309,1,rooftop,"3716 4th St SE",,"Washington, DC 20032",3716,"4th St SE",,,Washington,DC,"District of Columbia",20032,US,"Statewide (City of Washington)"
"4908 46TH ST NW, WASHINGTON DC, 20016","4908 46TH ST NW"," WASHINGTON DC"," 20016",38.953723,-77.090868,1,rooftop,"4908 46th St NW",,"Washington, DC 20016",4908,"46th St NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"142 56TH PL SE, WASHINGTON DC, 20019","142 56TH PL SE"," WASHINGTON DC"," 20019",38.886981,-76.919774,1,rooftop,"142 56th Pl SE",,"Washington, DC 20019",142,"56th Pl SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"2912 18TH ST NW, WASHINGTON DC, 20009","2912 18TH ST NW"," WASHINGTON DC"," 20009",38.926579,-77.041592,1,rooftop,"2912 18th St NW",,"Washington, DC 20009",2912,"18th St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
"5026 QUEENS STROLL PL SE, WASHINGTON DC, 20019","5026 QUEENS STROLL PL SE"," WASHINGTON DC"," 20019",38.883372,-76.930497,1,rooftop,"5026 Queens Stroll Pl SE",,"Washington, DC 20019",5026,"Queens Stroll Pl SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"113 WILMINGTON PL SE, WASHINGTON DC, 20032","113 WILMINGTON PL SE"," WASHINGTON DC"," 20032",38.836617,-77.00532,1,rooftop,"113 Wilmington Pl SE",,"Washington, DC 20032",113,"Wilmington Pl SE",,,Washington,DC,"District of Columbia",20032,US,"Statewide (City of Washington)"
"762 18TH ST NE, WASHINGTON DC, 20002","762 18TH ST NE"," WASHINGTON DC"," 20002",38.899861,-76.977705,1,rooftop,"762 18th St NE",,"Washington, DC 20002",762,"18th St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1211 EVARTS ST NE, WASHINGTON DC, 20018","1211 EVARTS ST NE"," WASHINGTON DC"," 20018",38.924217,-76.989773,1,rooftop,"1211 Evarts St NE",,"Washington, DC 20018",1211,"Evarts St NE",,,Washington,DC,"District of Columbia",20018,US,"Statewide (City of Washington)"
"4209 50TH ST NW, WASHINGTON DC, 20016","4209 50TH ST NW"," WASHINGTON DC"," 20016",38.943599,-77.098672,1,rooftop,"4209 50th St NW",,"Washington, DC 20016",4209,"50th St NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"116 56TH ST SE, WASHINGTON DC, 20019","116 56TH ST SE"," WASHINGTON DC"," 20019",38.887226,-76.920938,1,rooftop,"116 56th St SE",,"Washington, DC 20019",116,"56th St SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"819 YUMA ST SE, WASHINGTON DC, 20032","819 YUMA ST SE"," WASHINGTON DC"," 20032",38.831815,-76.993672,1,rooftop,"819 Yuma St SE",,"Washington, DC 20032",819,"Yuma St SE",,,Washington,DC,"District of Columbia",20032,US,"Statewide (City of Washington)"
"848 51ST ST SE, WASHINGTON DC, 20019","848 51ST ST SE"," WASHINGTON DC"," 20019",38.87729,-76.929792,1,rooftop,"848 51st St SE",,"Washington, DC 20019",848,"51st St SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"2413 NEWTON ST NE, WASHINGTON DC, 20018","2413 NEWTON ST NE"," WASHINGTON DC"," 20018",38.933922,-76.971378,1,rooftop,"2413 Newton St NE",,"Washington, DC 20018",2413,"Newton St NE",,,Washington,DC,"District of Columbia",20018,US,"Statewide (City of Washington)"
"1549 3RD ST NW, WASHINGTON DC, 20001","1549 3RD ST NW"," WASHINGTON DC"," 20001",38.910935,-77.014854,1,rooftop,"1549 3rd St NW",,"Washington, DC 20001",1549,"3rd St NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"4752 BENNING RD SE, WASHINGTON DC, 20019","4752 BENNING RD SE"," WASHINGTON DC"," 20019",38.883699,-76.931852,1,rooftop,"4752 Benning Rd SE",,"Washington, DC 20019",4752,"Benning Rd SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"830 OTIS PL NW, WASHINGTON DC, 20010","830 OTIS PL NW"," WASHINGTON DC"," 20010",38.933928,-77.025374,1,rooftop,"830 Otis Pl NW",,"Washington, DC 20010",830,"Otis Pl NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"5232 CHEVY CHASE PKWY NW, WASHINGTON DC, 20015","5232 CHEVY CHASE PKWY NW"," WASHINGTON DC"," 20015",38.958583,-77.07035,1,rooftop,"5232 Chevy Chase Pkwy NW",,"Washington, DC 20015",5232,"Chevy Chase Pkwy NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
"800 RITTENHOUSE ST NW, WASHINGTON DC, 20011","800 RITTENHOUSE ST NW"," WASHINGTON DC"," 20011",38.964757,-77.024417,1,rooftop,"800 Rittenhouse St NW",,"Washington, DC 20011",800,"Rittenhouse St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"1077 44TH ST NE, WASHINGTON DC, 20019","1077 44TH ST NE"," WASHINGTON DC"," 20019",38.904969,-76.938406,1,rooftop,"1077 44th St NE",,"Washington, DC 20019",1077,"44th St NE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"179 35TH ST NE, WASHINGTON DC, 20019","179 35TH ST NE"," WASHINGTON DC"," 20019",38.892325,-76.953161,1,rooftop,"179 35th St NE",,"Washington, DC 20019",179,"35th St NE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"3930 BURNS PL SE, WASHINGTON DC, 20019","3930 BURNS PL SE"," WASHINGTON DC"," 20019",38.887978,-76.949614,1,rooftop,"3930 Burns Pl SE",,"Washington, DC 20019",3930,"Burns Pl SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"2401 RHODE ISLAND AVE NE, WASHINGTON DC, 20018","2401 RHODE ISLAND AVE NE"," WASHINGTON DC"," 20018",38.930913,-76.971841,1,rooftop,"2401 Rhode Island Ave NE",,"Washington, DC 20018",2401,"Rhode Island Ave NE",,,Washington,DC,"District of Columbia",20018,US,"Statewide (City of Washington)"
"1414 RIDGE PL SE, WASHINGTON DC, 20020","1414 RIDGE PL SE"," WASHINGTON DC"," 20020",38.869004,-76.984536,1,rooftop,"1414 Ridge Pl SE",,"Washington, DC 20020",1414,"Ridge Pl SE",,,Washington,DC,"District of Columbia",20020,US,"Statewide (City of Washington)"
"3213 16TH ST NE, WASHINGTON DC, 20018","3213 16TH ST NE"," WASHINGTON DC"," 20018",38.930505,-76.982193,1,rooftop,"3213 16th St NE",,"Washington, DC 20018",3213,"16th St NE",,,Washington,DC,"District of Columbia",20018,US,"Statewide (City of Washington)"
"4318 14TH ST NW, WASHINGTON DC, 20011","4318 14TH ST NW"," WASHINGTON DC"," 20011",38.943571,-77.033006,1,rooftop,"4318 14th St NW",,"Washington, DC 20011",4318,"14th St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"1927 PARK RD NW, WASHINGTON DC, 20010","1927 PARK RD NW"," WASHINGTON DC"," 20010",38.933275,-77.045095,1,rooftop,"1927 Park Rd NW",,"Washington, DC 20010",1927,"Park Rd NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"429 OAKWOOD ST SE, WASHINGTON DC, 20032","429 OAKWOOD ST SE"," WASHINGTON DC"," 20032",38.846713,-77.002741,1,rooftop,"429 Oakwood St SE",,"Washington, DC 20032",429,"Oakwood St SE",,,Washington,DC,"District of Columbia",20032,US,"Statewide (City of Washington)"
"4700 BASS PL SE, WASHINGTON DC, 20019","4700 BASS PL SE"," WASHINGTON DC"," 20019",38.887188,-76.934664,1,rooftop,"4700 Bass Pl SE",,"Washington, DC 20019",4700,"Bass Pl SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"1536 MONTANA AVE NE, WASHINGTON DC, 20018","1536 MONTANA AVE NE"," WASHINGTON DC"," 20018",38.921993,-76.981597,1,rooftop,"1536 Montana Ave NE",,"Washington, DC 20018",1536,"Montana Ave NE",,,Washington,DC,"District of Columbia",20018,US,"Statewide (City of Washington)"
"3011 O ST SE, WASHINGTON DC, 20020","3011 O ST SE"," WASHINGTON DC"," 20020",38.872725,-76.963991,1,rooftop,"3011 O St SE",,"Washington, DC 20020",3011,"O St SE",,,Washington,DC,"District of Columbia",20020,US,"Statewide (City of Washington)"
"1706 IRVING ST NE, WASHINGTON DC, 20018","1706 IRVING ST NE"," WASHINGTON DC"," 20018",38.929257,-76.980258,1,rooftop,"1706 Irving St NE",,"Washington, DC 20018",1706,"Irving St NE",,,Washington,DC,"District of Columbia",20018,US,"Statewide (City of Washington)"
"1755 HOBART ST NW, WASHINGTON DC, 20009","1755 HOBART ST NW"," WASHINGTON DC"," 20009",38.928288,-77.041672,1,rooftop,"1755 Hobart St NW",,"Washington, DC 20009",1755,"Hobart St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
"3520 CLAY PL NE, WASHINGTON DC, 20019","3520 CLAY PL NE"," WASHINGTON DC"," 20019",38.893595,-76.951526,1,rooftop,"3520 Clay Pl NE",,"Washington, DC 20019",3520,"Clay Pl NE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"312 K ST NE, WASHINGTON DC, 20002","312 K ST NE"," WASHINGTON DC"," 20002",38.902785,-77.00123,1,rooftop,"312 K St NE",,"Washington, DC 20002",312,"K St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"4108 10TH ST NE, WASHINGTON DC, 20017","4108 10TH ST NE"," WASHINGTON DC"," 20017",38.940099,-76.992874,1,rooftop,"4108 10th St NE",,"Washington, DC 20017",4108,"10th St NE",,,Washington,DC,"District of Columbia",20017,US,"Statewide (City of Washington)"
"731 6TH ST SE, WASHINGTON DC, 20003","731 6TH ST SE"," WASHINGTON DC"," 20003",38.880366,-76.998675,1,rooftop,"731 6th St SE",,"Washington, DC 20003",731,"6th St SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
"4826 BASS PL SE, WASHINGTON DC, 20019","4826 BASS PL SE"," WASHINGTON DC"," 20019",38.88657,-76.9333,1,rooftop,"4826 Bass Pl SE",,"Washington, DC 20019",4826,"Bass Pl SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"635 ASPEN ST NW, WASHINGTON DC, 20012","635 ASPEN ST NW"," WASHINGTON DC"," 20012",38.972569,-77.022592,1,rooftop,"635 Aspen St NW",,"Washington, DC 20012",635,"Aspen St NW",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
"5102 KANSAS AVE NW, WASHINGTON DC, 20011","5102 KANSAS AVE NW"," WASHINGTON DC"," 20011",38.952355,-77.018486,1,rooftop,"5102 Kansas Ave NW",,"Washington, DC 20011",5102,"Kansas Ave NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"4011 Q ST SE, WASHINGTON DC, 20020","4011 Q ST SE"," WASHINGTON DC"," 20020",38.867403,-76.946249,1,rooftop,"4011 Q St SE",,"Washington, DC 20020",4011,"Q St SE",,,Washington,DC,"District of Columbia",20020,US,"Statewide (City of Washington)"
"1816 15TH ST NW, WASHINGTON DC, 20009","1816 15TH ST NW"," WASHINGTON DC"," 20009",38.914657,-77.034802,1,rooftop,"1816 15th St NW",,"Washington, DC 20009",1816,"15th St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
"7616 13TH ST NW, WASHINGTON DC, 20012","7616 13TH ST NW"," WASHINGTON DC"," 20012",38.982767,-77.029981,1,rooftop,"7616 13th St NW",,"Washington, DC 20012",7616,"13th St NW",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
"1338 HEMLOCK ST NW, WASHINGTON DC, 20012","1338 HEMLOCK ST NW"," WASHINGTON DC"," 20012",38.981133,-77.032669,1,rooftop,"1338 Hemlock St NW",,"Washington, DC 20012",1338,"Hemlock St NW",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
"1426 WEBSTER ST NW, WASHINGTON DC, 20011","1426 WEBSTER ST NW"," WASHINGTON DC"," 20011",38.943821,-77.034007,1,rooftop,"1426 Webster St NW",,"Washington, DC 20011",1426,"Webster St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"1621 VARNUM ST NW, WASHINGTON DC, 20011","1621 VARNUM ST NW"," WASHINGTON DC"," 20011",38.943168,-77.038368,1,rooftop,"1621 Varnum St NW",,"Washington, DC 20011",1621,"Varnum St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"2425 FRANKLIN ST NE, WASHINGTON DC, 20018","2425 FRANKLIN ST NE"," WASHINGTON DC"," 20018",38.925397,-76.971091,1,rooftop,"2425 Franklin St NE",,"Washington, DC 20018",2425,"Franklin St NE",,,Washington,DC,"District of Columbia",20018,US,"Statewide (City of Washington)"
"1238 CRITTENDEN ST NW, WASHINGTON DC, 20011","1238 CRITTENDEN ST NW"," WASHINGTON DC"," 20011",38.947009,-77.028963,1,rooftop,"1238 Crittenden St NW",,"Washington, DC 20011",1238,"Crittenden St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"5134 H ST SE, WASHINGTON DC, 20019","5134 H ST SE"," WASHINGTON DC"," 20019",38.878656,-76.928861,1,rooftop,"5134 H St SE",,"Washington, DC 20019",5134,"H St SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"2430 WISCONSIN AVE NW, WASHINGTON DC, 20007","2430 WISCONSIN AVE NW"," WASHINGTON DC"," 20007",38.92172,-77.07279,1,rooftop,"2430 Wisconsin Ave NW",,"Washington, DC 20007",2430,"Wisconsin Ave NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
"1801 45TH ST NW, WASHINGTON DC, 20007","1801 45TH ST NW"," WASHINGTON DC"," 20007",38.913018,-77.084616,1,rooftop,"1801 45th St NW",,"Washington, DC 20007",1801,"45th St NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
"585 REGENT PL NE, WASHINGTON DC, 20017","585 REGENT PL NE"," WASHINGTON DC"," 20017",38.92884,-76.998222,1,rooftop,"585 Regent Pl NE",,"Washington, DC 20017",585,"Regent Pl NE",,,Washington,DC,"District of Columbia",20017,US,"Statewide (City of Washington)"
"1317 JONQUIL ST NW, WASHINGTON DC, 20012","1317 JONQUIL ST NW"," WASHINGTON DC"," 20012",38.984071,-77.030497,1,rooftop,"1317 Jonquil St NW",,"Washington, DC 20012",1317,"Jonquil St NW",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
"1735 KENYON ST NW, WASHINGTON DC, 20010","1735 KENYON ST NW"," WASHINGTON DC"," 20010",38.92989,-77.040573,1,rooftop,"1735 Kenyon St NW",,"Washington, DC 20010",1735,"Kenyon St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"2416 10TH ST NE, WASHINGTON DC, 20018","2416 10TH ST NE"," WASHINGTON DC"," 20018",38.922062,-76.992693,1,rooftop,"2416 10th St NE",,"Washington, DC 20018",2416,"10th St NE",,,Washington,DC,"District of Columbia",20018,US,"Statewide (City of Washington)"
"1847 VERNON ST NW, WASHINGTON DC, 20009","1847 VERNON ST NW"," WASHINGTON DC"," 20009",38.917202,-77.043189,1,rooftop,"1847 Vernon St NW",,"Washington, DC 20009",1847,"Vernon St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
"13 UNDERWOOD PL NW, WASHINGTON DC, 20012","13 UNDERWOOD PL NW"," WASHINGTON DC"," 20012",38.969312,-77.009874,1,rooftop,"13 Underwood Pl NW",,"Washington, DC 20012",13,"Underwood Pl NW",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
"4106 LEE ST NE, WASHINGTON DC, 20019","4106 LEE ST NE"," WASHINGTON DC"," 20019",38.903946,-76.944756,1,rooftop,"4106 Lee St NE",,"Washington, DC 20019",4106,"Lee St NE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"3926 MILITARY RD NW, WASHINGTON DC, 20015","3926 MILITARY RD NW"," WASHINGTON DC"," 20015",38.960756,-77.078616,1,rooftop,"3926 Military Rd NW",,"Washington, DC 20015",3926,"Military Rd NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
"631 DARRINGTON ST SE, WASHINGTON DC, 20032","631 DARRINGTON ST SE"," WASHINGTON DC"," 20032",38.826011,-76.997618,1,rooftop,"631 Darrington St SE",,"Washington, DC 20032",631,"Darrington St SE",,,Washington,DC,"District of Columbia",20032,US,"Statewide (City of Washington)"
"413 WOODCREST DR SE, WASHINGTON DC, 20032","413 WOODCREST DR SE"," WASHINGTON DC"," 20032",38.838055,-76.999946,1,rooftop,"413 Woodcrest Dr SE",,"Washington, DC 20032",413,"Woodcrest Dr SE",,,Washington,DC,"District of Columbia",20032,US,"Statewide (City of Washington)"
"1436 41ST ST SE, WASHINGTON DC, 20020","1436 41ST ST SE"," WASHINGTON DC"," 20020",38.869311,-76.944057,1,rooftop,"1436 41st St SE",,"Washington, DC 20020",1436,"41st St SE",,,Washington,DC,"District of Columbia",20020,US,"Statewide (City of Washington)"
"1029 EUCLID ST NW, WASHINGTON DC, 20001","1029 EUCLID ST NW"," WASHINGTON DC"," 20001",38.923993,-77.026506,1,rooftop,"1029 Euclid St NW",,"Washington, DC 20001",1029,"Euclid St NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"206 CHANNING ST NE, WASHINGTON DC, 20002","206 CHANNING ST NE"," WASHINGTON DC"," 20002",38.922536,-77.003145,1,rooftop,"206 Channing St NE",,"Washington, DC 20002",206,"Channing St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1246 FLORIDA AVE NE, WASHINGTON DC, 20002","1246 FLORIDA AVE NE"," WASHINGTON DC"," 20002",38.902423,-76.988816,1,rooftop,"1246 Florida Ave NE",,"Washington, DC 20002",1246,"Florida Ave NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"5429 CENTRAL AVE SE, WASHINGTON DC, 20019","5429 CENTRAL AVE SE"," WASHINGTON DC"," 20019",38.886201,-76.92247,1,rooftop,"5429 Central Ave SE",,"Washington, DC 20019",5429,"Central Ave SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"918 FRENCH ST NW, WASHINGTON DC, 20001","918 FRENCH ST NW"," WASHINGTON DC"," 20001",38.913203,-77.025104,1,rooftop,"918 French St NW",,"Washington, DC 20001",918,"French St NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"4105 ANACOSTIA AVE NE, WASHINGTON DC, 20019","4105 ANACOSTIA AVE NE"," WASHINGTON DC"," 20019",38.906367,-76.944975,1,rooftop,"4105 Anacostia Ave NE",,"Washington, DC 20019",4105,"Anacostia Ave NE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"330 TENNESSEE AVE NE, WASHINGTON DC, 20002","330 TENNESSEE AVE NE"," WASHINGTON DC"," 20002",38.894643,-76.986552,1,rooftop,"330 Tennessee Ave NE",,"Washington, DC 20002",330,"Tennessee Ave NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"5011 A ST SE, WASHINGTON DC, 20019","5011 A ST SE"," WASHINGTON DC"," 20019",38.887757,-76.929642,1,rooftop,"5011 A St SE",,"Washington, DC 20019",5011,"A St SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"5900 4TH ST NW, WASHINGTON DC, 20011","5900 4TH ST NW"," WASHINGTON DC"," 20011",38.961486,-77.018279,1,rooftop,"5900 4th St NW",,"Washington, DC 20011",5900,"4th St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"5023 ILLINOIS AVE NW, WASHINGTON DC, 20011","5023 ILLINOIS AVE NW"," WASHINGTON DC"," 20011",38.951646,-77.024272,1,rooftop,"5023 Illinois Ave NW",,"Washington, DC 20011",5023,"Illinois Ave NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"1820 H ST NE, WASHINGTON DC, 20002","1820 H ST NE"," WASHINGTON DC"," 20002",38.900371,-76.976816,1,rooftop,"1820 H St NE",,"Washington, DC 20002",1820,"H St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"436 OAKWOOD ST SE, WASHINGTON DC, 20032","436 OAKWOOD ST SE"," WASHINGTON DC"," 20032",38.846838,-77.002148,1,rooftop,"436 Oakwood St SE",,"Washington, DC 20032",436,"Oakwood St SE",,,Washington,DC,"District of Columbia",20032,US,"Statewide (City of Washington)"
"1618 4TH ST NW, WASHINGTON DC, 20001","1618 4TH ST NW"," WASHINGTON DC"," 20001",38.911722,-77.01638,1,rooftop,"1618 4th St NW",,"Washington, DC 20001",1618,"4th St NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"1448 W ST SE, WASHINGTON DC, 20020","1448 W ST SE"," WASHINGTON DC"," 20020",38.864067,-76.98421,1,rooftop,"1448 W St SE",,"Washington, DC 20020",1448,"W St SE",,,Washington,DC,"District of Columbia",20020,US,"Statewide (City of Washington)"
"6135 30TH ST NW, WASHINGTON DC, 20015","6135 30TH ST NW"," WASHINGTON DC"," 20015",38.970538,-77.060572,1,rooftop,"6135 30th St NW",,"Washington, DC 20015",6135,"30th St NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
"6727 16TH ST NW, WASHINGTON DC, 20012","6727 16TH ST NW"," WASHINGTON DC"," 20012",38.971912,-77.035984,1,rooftop,"6727 16th St NW",,"Washington, DC 20012",6727,"16th St NW",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
"607 GALVESTON ST SE, WASHINGTON DC, 20032","607 GALVESTON ST SE"," WASHINGTON DC"," 20032",38.823682,-76.999291,1,rooftop,"607 Galveston St SE",,"Washington, DC 20032",607,"Galveston St SE",,,Washington,DC,"District of Columbia",20032,US,"Statewide (City of Washington)"
"4417 HAYES ST NE, WASHINGTON DC, 20019","4417 HAYES ST NE"," WASHINGTON DC"," 20019",38.899521,-76.938309,1,rooftop,"4417 Hayes St NE",,"Washington, DC 20019",4417,"Hayes St NE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"1612 GALES ST NE, WASHINGTON DC, 20002","1612 GALES ST NE"," WASHINGTON DC"," 20002",38.898539,-76.981219,1,rooftop,"1612 Gales St NE",,"Washington, DC 20002",1612,"Gales St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"711 NICHOLSON ST NW, WASHINGTON DC, 20011","711 NICHOLSON ST NW"," WASHINGTON DC"," 20011",38.960364,-77.022998,1,rooftop,"711 Nicholson St NW",,"Washington, DC 20011",711,"Nicholson St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"678 BRANDYWINE ST SE, WASHINGTON DC, 20032","678 BRANDYWINE ST SE"," WASHINGTON DC"," 20032",38.830298,-76.996285,1,rooftop,"678 Brandywine St SE",,"Washington, DC 20032",678,"Brandywine St SE",,,Washington,DC,"District of Columbia",20032,US,"Statewide (City of Washington)"
"510 KENYON ST NW, WASHINGTON DC, 20010","510 KENYON ST NW"," WASHINGTON DC"," 20010",38.930097,-77.020322,1,rooftop,"510 Kenyon St NW",,"Washington, DC 20010",510,"Kenyon St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"1701 BUNKER HILL RD NE, WASHINGTON DC, 20017","1701 BUNKER HILL RD NE"," WASHINGTON DC"," 20017",38.941983,-76.982088,1,rooftop,"1701 Bunker Hill Rd NE",,"Washington, DC 20017",1701,"Bunker Hill Rd NE",,,Washington,DC,"District of Columbia",20017,US,"Statewide (City of Washington)"
"4955 BUTTERWORTH PL NW, WASHINGTON DC, 20016","4955 BUTTERWORTH PL NW"," WASHINGTON DC"," 20016",38.949008,-77.098949,1,rooftop,"4955 Butterworth Pl NW",,"Washington, DC 20016",4955,"Butterworth Pl NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"724 COLUMBIA RD NW, WASHINGTON DC, 20001","724 COLUMBIA RD NW"," WASHINGTON DC"," 20001",38.927904,-77.023804,1,rooftop,"724 Columbia Rd NW",,"Washington, DC 20001",724,"Columbia Rd NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"1373 E ST SE, WASHINGTON DC, 20003","1373 E ST SE"," WASHINGTON DC"," 20003",38.882676,-76.985788,1,rooftop,"1373 E St SE",,"Washington, DC 20003",1373,"E St SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
"555 REGENT PL NE, WASHINGTON DC, 20017","555 REGENT PL NE"," WASHINGTON DC"," 20017",38.928569,-76.998376,1,rooftop,"555 Regent Pl NE",,"Washington, DC 20017",555,"Regent Pl NE",,,Washington,DC,"District of Columbia",20017,US,"Statewide (City of Washington)"
"1919 S ST SE, WASHINGTON DC, 20020","1919 S ST SE"," WASHINGTON DC"," 20020",38.868047,-76.976669,1,rooftop,"1919 S St SE",,"Washington, DC 20020",1919,"S St SE",,,Washington,DC,"District of Columbia",20020,US,"Statewide (City of Washington)"
